Belfast Westlink Roden Street,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
12,V µg/m³,28,V µg/m³,46,V µg/m³,No data,No data,No data,No data,No data,No data
52,V µg/m³,42,V µg/m³,122,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,22,V µg/m³,31,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,9,V µg/m³,13,V µg/m³,No data,No data,No data,No data,No data,No data
11,V µg/m³,19,V µg/m³,37,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,21,V µg/m³,31,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,17,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
1,V µg/m³,11,V µg/m³,13,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,15,V µg/m³,21,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,16,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,19,V µg/m³,25,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,17,V µg/m³,35,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,17,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,10,V µg/m³,13,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,17,V µg/m³,23,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,43,V µg/m³,91,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,24,V µg/m³,43,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,30,V µg/m³,66,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,24,V µg/m³,34,V µg/m³,No data,No data,No data,No data,No data,No data
103,V µg/m³,64,V µg/m³,221,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,36,V µg/m³,56,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,28,V µg/m³,47,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,32,V µg/m³,45,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,20,V µg/m³,25,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,31,V µg/m³,66,V µg/m³,No data,No data,No data,No data,No data,No data
64,V µg/m³,54,V µg/m³,153,V µg/m³,No data,No data,No data,No data,No data,No data
18,V µg/m³,38,V µg/m³,65,V µg/m³,No data,No data,No data,No data,No data,No data
16,V µg/m³,30,V µg/m³,54,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,9,V µg/m³,13,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,16,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,16,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,17,V µg/m³,26,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,14,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,25,V µg/m³,33,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,19,V µg/m³,28,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,39,V µg/m³,67,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,30,V µg/m³,51,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,30,V µg/m³,42,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,19,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,22,V µg/m³,29,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,18,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,23,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,18,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,24,V µg/m³,45,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,18,V µg/m³,26,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,19,V µg/m³,23,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,25,V µg/m³,38,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,23,V µg/m³,35,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,12,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
1,V µg/m³,8,V µg/m³,9,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,13,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,16,V µg/m³,21,V µg/m³,No data,No data,No data,No data,No data,No data
29,V µg/m³,31,V µg/m³,76,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,32,V µg/m³,64,V µg/m³,No data,No data,No data,No data,No data,No data
37,V µg/m³,41,V µg/m³,98,V µg/m³,No data,No data,No data,No data,No data,No data
41,V µg/m³,56,V µg/m³,119,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,49,V µg/m³,96,V µg/m³,No data,No data,No data,No data,No data,No data
67,V µg/m³,71,V µg/m³,173,V µg/m³,No data,No data,No data,No data,No data,No data
54,V µg/m³,56,V µg/m³,138,V µg/m³,No data,No data,No data,No data,No data,No data
42,V µg/m³,48,V µg/m³,112,V µg/m³,No data,No data,No data,No data,No data,No data
51,V µg/m³,58,V µg/m³,135,V µg/m³,No data,No data,No data,No data,No data,No data
62,V µg/m³,68,V µg/m³,164,V µg/m³,No data,No data,No data,No data,No data,No data
28,V µg/m³,45,V µg/m³,88,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,23,V µg/m³,37,V µg/m³,No data,No data,No data,No data,No data,No data
28,V µg/m³,35,V µg/m³,77,V µg/m³,No data,No data,No data,No data,No data,No data
58,V µg/m³,56,V µg/m³,145,V µg/m³,No data,No data,No data,No data,No data,No data
80,V µg/m³,72,V µg/m³,194,V µg/m³,No data,No data,No data,No data,No data,No data
40,V µg/m³,46,V µg/m³,107,V µg/m³,No data,No data,No data,No data,No data,No data
35,V µg/m³,46,V µg/m³,100,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,46,V µg/m³,93,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,14,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
17,V µg/m³,23,V µg/m³,48,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,30,V µg/m³,62,V µg/m³,No data,No data,No data,No data,No data,No data
43,V µg/m³,44,V µg/m³,110,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,25,V µg/m³,31,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,21,V µg/m³,40,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,17,V µg/m³,28,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,16,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,20,V µg/m³,31,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,12,V µg/m³,16,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,12,V µg/m³,15,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,18,V µg/m³,29,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,11,V µg/m³,13,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,23,V µg/m³,43,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,35,V µg/m³,71,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,27,V µg/m³,55,V µg/m³,No data,No data,No data,No data,No data,No data
14,V µg/m³,24,V µg/m³,45,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,22,V µg/m³,33,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,21,V µg/m³,33,V µg/m³,No data,No data,No data,No data,No data,No data
65,V µg/m³,60,V µg/m³,159,V µg/m³,No data,No data,No data,No data,No data,No data
34,V µg/m³,44,V µg/m³,96,V µg/m³,No data,No data,No data,No data,No data,No data
18,V µg/m³,32,V µg/m³,59,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,16,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,20,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,20,V µg/m³,29,V µg/m³,No data,No data,No data,No data,No data,No data
24,V µg/m³,35,V µg/m³,73,V µg/m³,No data,No data,No data,No data,No data,No data
27,V µg/m³,37,V µg/m³,78,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,21,V µg/m³,35,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,7,V µg/m³,10,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,9,V µg/m³,12,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,8,V µg/m³,11,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,16,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,16,V µg/m³,25,V µg/m³,No data,No data,No data,No data,No data,No data
20,V µg/m³,39,V µg/m³,71,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,19,V µg/m³,30,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,17,V µg/m³,29,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,30,V µg/m³,77,V µg/m³,No data,No data,No data,No data,No data,No data
34,V µg/m³,46,V µg/m³,98,V µg/m³,No data,No data,No data,No data,No data,No data
30,V µg/m³,44,V µg/m³,91,V µg/m³,No data,No data,No data,No data,No data,No data
28,V µg/m³,43,V µg/m³,86,V µg/m³,No data,No data,No data,No data,No data,No data
29,V µg/m³,43,V µg/m³,87,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,50,V µg/m³,98,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,39,V µg/m³,71,V µg/m³,No data,No data,No data,No data,No data,No data
35,V µg/m³,41,V µg/m³,95,V µg/m³,No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,34,V µg/m³,63,V µg/m³,No data,No data,No data,No data,No data,No data
25,V µg/m³,40,V µg/m³,79,V µg/m³,No data,No data,No data,No data,No data,No data
43,V µg/m³,50,V µg/m³,116,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,21,V µg/m³,33,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,22,V µg/m³,42,V µg/m³,No data,No data,No data,No data,No data,No data
39,V µg/m³,47,V µg/m³,107,V µg/m³,No data,No data,No data,No data,No data,No data
22,V µg/m³,37,V µg/m³,70,V µg/m³,No data,No data,No data,No data,No data,No data
25,V µg/m³,39,V µg/m³,78,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,12,V µg/m³,18,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,13,V µg/m³,19,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,10,V µg/m³,14,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,11,V µg/m³,14,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,14,V µg/m³,20,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,11,V µg/m³,15,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,38,V µg/m³,85,V µg/m³,No data,No data,No data,No data,No data,No data
41,V µg/m³,51,V µg/m³,114,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,20,V µg/m³,33,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,18,V µg/m³,31,V µg/m³,No data,No data,No data,No data,No data,No data
20,V µg/m³,28,V µg/m³,58,V µg/m³,No data,No data,No data,No data,No data,No data
17,V µg/m³,26,V µg/m³,51,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,29,V µg/m³,48,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,20,V µg/m³,28,V µg/m³,No data,No data,No data,No data,No data,No data
27,V µg/m³,40,V µg/m³,82,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,13,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,32,V µg/m³,67,V µg/m³,No data,No data,No data,No data,No data,No data
24,V µg/m³,27,V µg/m³,63,V µg/m³,No data,No data,No data,No data,No data,No data
18,V µg/m³,28,V µg/m³,55,V µg/m³,No data,No data,No data,No data,No data,No data
22,V µg/m³,31,V µg/m³,65,V µg/m³,No data,No data,No data,No data,No data,No data
29,V µg/m³,34,V µg/m³,77,V µg/m³,No data,No data,No data,No data,No data,No data
39,V µg/m³,43,V µg/m³,103,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,19,V µg/m³,30,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,15,V µg/m³,26,V µg/m³,No data,No data,No data,No data,No data,No data
34,V µg/m³,48,V µg/m³,100,V µg/m³,No data,No data,No data,No data,No data,No data
38,V µg/m³,53,V µg/m³,111,V µg/m³,No data,No data,No data,No data,No data,No data
37,V µg/m³,51,V µg/m³,108,V µg/m³,No data,No data,No data,No data,No data,No data
29,V µg/m³,40,V µg/m³,85,V µg/m³,No data,No data,No data,No data,No data,No data
34,V µg/m³,44,V µg/m³,96,V µg/m³,No data,No data,No data,No data,No data,No data
14,V µg/m³,35,V µg/m³,55,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,31,V µg/m³,44,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,48,V µg/m³,95,V µg/m³,No data,No data,No data,No data,No data,No data
26,V µg/m³,40,V µg/m³,80,V µg/m³,No data,No data,No data,No data,No data,No data
33,V µg/m³,45,V µg/m³,95,V µg/m³,No data,No data,No data,No data,No data,No data
27,V µg/m³,40,V µg/m³,81,V µg/m³,No data,No data,No data,No data,No data,No data
27,V µg/m³,43,V µg/m³,83,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,43,V µg/m³,72,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,29,V µg/m³,43,V µg/m³,No data,No data,No data,No data,No data,No data
48,V µg/m³,62,V µg/m³,136,V µg/m³,No data,No data,No data,No data,No data,No data
33,V µg/m³,75,V µg/m³,126,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,55,V µg/m³,87,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,41,V µg/m³,70,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,56,V µg/m³,88,V µg/m³,No data,No data,No data,No data,No data,No data
14,V µg/m³,46,V µg/m³,68,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,30,V µg/m³,44,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,20,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,27,V µg/m³,47,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,21,V µg/m³,35,V µg/m³,No data,No data,No data,No data,No data,No data
17,V µg/m³,28,V µg/m³,53,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,14,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,8,V µg/m³,12,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,25,V µg/m³,43,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,15,V µg/m³,28,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,13,V µg/m³,19,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,30,V µg/m³,66,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,13,V µg/m³,20,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,11,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
